outside_temp,outside_humidity,inside_temp,inside_humidity,username,date,time
72.2,60.1,71.7,60.1,wanda13,15-02-21,06
82.3,77.2,82.2,72.4,wanda13,15-02-21,12
88.0,70.8,82.5,69.8,wanda13,15-02-21,18
92.9,71.9,85.0,64.2,wanda13,15-02-22,00
91.5,65.3,90.2,58.8,wanda13,15-02-22,06
84.4,81.1,84.4,81.1,wanda13,15-02-22,12
71.1,80.5,69.6,79.5,wanda13,15-02-22,18
91.7,58.0,90.3,53.7,wanda13,15-02-23,00
91.1,80.0,86.8,79.7,wanda13,15-02-23,06
87.7,53.2,83.6,48.3,wanda13,15-02-23,12
76.7,80.4,76.5,80.4,wanda13,15-02-23,18
88.8,92.7,88.8,92.5,wanda13,15-02-24,00
79.8,59.2,78.2,59.2,wanda13,15-02-24,06
85.6,71.9,83.9,70.8,wanda13,15-02-24,12
70.6,54.1,69.5,45.5,wanda13,15-02-24,18
81.3,62.6,80.3,61.2,wanda13,15-02-25,00
89.6,86.5,82.3,84.8,wanda13,15-02-25,06
74.0,94.0,70.3,93.5,wanda13,15-02-25,12
79.1,92.9,74.5,92.7,wanda13,15-02-25,18
72.7,53.3,71.9,53.3,wanda13,15-02-26,00
70.7,88.3,68.7,88.3,wanda13,15-02-26,06
73.3,63.2,66.7,63.2,wanda13,15-02-26,12
93.9,75.6,91.0,75.4,wanda13,15-02-26,18
92.8,62.7,89.0,59.4,wanda13,15-02-27,00
87.2,60.4,86.4,59.7,wanda13,15-02-27,06
91.6,68.8,89.9,68.5,wanda13,15-02-27,12
75.5,64.3,71.6,62.2,wanda13,15-02-27,18
81.7,74.6,77.7,72.3,wanda13,15-02-28,00
70.2,54.8,69.5,48.3,wanda13,15-02-28,06
77.9,73.4,77.3,73.4,wanda13,15-02-28,12
84.4,61.5,75.7,53.6,wanda13,15-02-28,18
86.1,90.2,86.1,83.7,wanda13,15-03-01,00
71.3,92.4,70.0,91.3,wanda13,15-03-01,06
82.9,51.7,82.7,51.7,wanda13,15-03-01,12
93.9,65.5,90.0,60.9,wanda13,15-03-01,18
90.3,58.1,82.7,54.6,wanda13,15-03-02,00
72.3,77.7,72.3,75.7,wanda13,15-03-02,06
78.1,90.4,77.2,90.1,wanda13,15-03-02,12
73.6,66.6,72.1,66.6,wanda13,15-03-02,18
87.7,61.5,86.9,61.5,wanda13,15-03-03,00
84.7,87.8,82.2,79.8,wanda13,15-03-03,06
74.7,50.1,70.5,49.6,wanda13,15-03-03,12
85.5,66.6,85.5,64.4,wanda13,15-03-03,18
81.1,83.4,75.0,80.5,wanda13,15-03-04,00
71.8,66.6,71.7,64.7,wanda13,15-03-04,06
85.0,69.4,84.1,65.0,wanda13,15-03-04,12
84.8,87.1,76.3,86.7,wanda13,15-03-04,18
78.2,79.9,77.8,76.0,wanda13,15-03-05,00
73.6,75.5,64.1,74.7,wanda13,15-03-05,06
84.4,54.0,81.4,53.7,wanda13,15-03-05,12
84.3,89.2,84.3,84.4,wanda13,15-03-05,18
88.1,80.3,88.1,77.3,wanda13,15-03-06,00
94.8,73.7,91.2,72.6,wanda13,15-03-06,06
81.7,90.6,74.9,87.7,wanda13,15-03-06,12
89.0,75.1,86.5,73.0,wanda13,15-03-06,18
84.3,50.3,84.3,49.4,wanda13,15-03-07,00
89.8,70.9,89.6,69.5,wanda13,15-03-07,06
73.3,66.0,72.5,65.0,wanda13,15-03-07,12
89.2,63.1,88.8,62.9,wanda13,15-03-07,18
89.4,71.1,88.4,65.9,wanda13,15-03-08,00
82.2,65.3,78.5,65.0,wanda13,15-03-08,06
70.5,66.6,68.3,65.9,wanda13,15-03-08,12
83.9,53.7,81.7,48.9,wanda13,15-03-08,18
94.2,77.8,93.4,74.7,wanda13,15-03-09,00
83.2,89.5,81.1,89.0,wanda13,15-03-09,06
83.6,62.0,83.6,56.0,wanda13,15-03-09,12
91.3,56.9,86.8,53.4,wanda13,15-03-09,18
89.0,66.4,87.5,65.3,wanda13,15-03-10,00
90.8,58.0,87.8,57.8,wanda13,15-03-10,06
84.7,62.6,83.3,62.6,wanda13,15-03-10,12
89.8,53.8,89.7,52.8,wanda13,15-03-10,18
86.2,86.0,85.7,85.8,wanda13,15-03-11,00
92.0,72.9,91.7,69.7,wanda13,15-03-11,06
83.7,64.0,80.9,61.4,wanda13,15-03-11,12
85.3,57.1,81.7,57.0,wanda13,15-03-11,18
81.4,91.4,77.8,91.4,wanda13,15-03-12,00
84.8,57.1,84.8,52.3,wanda13,15-03-12,06
75.6,62.7,73.3,62.7,wanda13,15-03-12,12
75.2,89.4,73.0,83.8,wanda13,15-03-12,18
86.3,64.9,78.6,63.9,wanda13,15-03-13,00
84.9,92.1,84.9,90.3,wanda13,15-03-13,06
77.0,68.5,76.8,68.5,wanda13,15-03-13,12
74.0,59.7,73.4,58.0,wanda13,15-03-13,18
85.2,87.1,83.5,85.1,wanda13,15-03-14,00
80.0,70.0,80.0,68.1,wanda13,15-03-14,06
94.0,92.3,92.6,91.8,wanda13,15-03-14,12
85.2,81.6,82.2,79.4,wanda13,15-03-14,18
91.7,68.4,85.1,66.6,wanda13,15-03-15,00
82.4,82.5,79.0,82.0,wanda13,15-03-15,06
90.4,56.7,89.6,53.2,wanda13,15-03-15,12
90.5,63.9,83.8,59.3,wanda13,15-03-15,18
90.9,78.1,89.9,71.8,wanda13,15-03-16,00
73.4,61.4,73.3,60.8,wanda13,15-03-16,06
76.5,58.0,76.5,51.6,wanda13,15-03-16,12
91.8,78.5,82.7,78.1,wanda13,15-03-16,18
82.7,91.5,79.5,91.5,wanda13,15-03-17,00
83.5,74.3,83.0,72.7,wanda13,15-03-17,06
85.5,79.7,85.5,76.3,wanda13,15-03-17,12
87.9,90.9,83.6,90.5,wanda13,15-03-17,18
77.7,61.6,76.7,59.5,wanda13,15-03-18,00
85.7,80.3,85.7,79.9,wanda13,15-03-18,06
92.6,70.9,92.0,70.5,wanda13,15-03-18,12
84.7,68.6,80.5,66.3,wanda13,15-03-18,18
91.5,76.2,81.9,75.0,wanda13,15-03-19,00
86.5,62.5,85.7,60.2,wanda13,15-03-19,06
80.7,78.6,73.6,77.3,wanda13,15-03-19,12
75.2,70.0,74.3,68.3,wanda13,15-03-19,18
81.5,83.2,80.0,83.2,wanda13,15-03-20,00
93.2,84.1,92.9,82.5,wanda13,15-03-20,06
91.4,58.9,84.6,49.2,wanda13,15-03-20,12
93.3,86.8,89.3,81.5,wanda13,15-03-20,18
93.9,72.3,93.9,69.2,wanda13,15-03-21,00
86.1,60.8,85.0,58.8,wanda13,15-03-21,06
90.8,52.2,90.6,47.5,wanda13,15-03-21,12
78.9,83.0,78.5,83.0,wanda13,15-03-21,18
85.5,77.3,85.5,72.5,wanda13,15-03-22,00
84.3,55.4,82.9,50.6,wanda13,15-03-22,06
70.9,68.5,66.9,62.7,wanda13,15-03-22,12
92.0,79.4,83.5,77.1,wanda13,15-03-22,18
80.2,62.5,79.9,61.5,wanda13,15-03-23,00
94.0,60.4,93.5,59.3,wanda13,15-03-23,06
75.9,62.7,75.9,57.0,wanda13,15-03-23,12
92.6,94.7,90.8,86.5,wanda13,15-03-23,18
76.4,69.4,76.4,67.3,wanda13,15-03-24,00
78.7,50.8,77.2,41.2,wanda13,15-03-24,06
83.9,75.0,83.7,75.0,wanda13,15-03-24,12
81.7,72.4,81.7,69.7,wanda13,15-03-24,18
87.6,87.8,87.3,81.7,wanda13,15-03-25,00
81.3,64.6,81.3,64.6,wanda13,15-03-25,06
85.9,63.8,85.7,56.4,wanda13,15-03-25,12
88.5,77.3,87.1,76.4,wanda13,15-03-25,18
78.5,84.3,75.0,81.7,wanda13,15-03-26,00
74.1,53.3,71.5,47.4,wanda13,15-03-26,06
83.8,83.1,80.5,82.1,wanda13,15-03-26,12
74.1,87.0,71.4,86.3,wanda13,15-03-26,18
70.3,57.2,69.4,52.8,wanda13,15-03-27,00
70.9,74.3,70.0,74.3,wanda13,15-03-27,06
87.6,77.2,86.6,71.9,wanda13,15-03-27,12
71.5,84.8,71.5,82.5,wanda13,15-03-27,18
94.9,72.2,90.4,66.3,wanda13,15-03-28,00
87.3,88.2,81.5,81.8,wanda13,15-03-28,06
83.2,86.1,81.2,86.1,wanda13,15-03-28,12
90.9,54.4,86.5,46.1,wanda13,15-03-28,18
82.0,77.4,81.3,75.8,wanda13,15-03-29,00
85.3,81.8,85.3,81.8,wanda13,15-03-29,06
89.2,75.4,89.2,73.4,wanda13,15-03-29,12
91.7,60.7,86.7,55.7,wanda13,15-03-29,18
72.6,87.4,72.4,81.3,wanda13,15-03-30,00
76.5,90.0,76.5,88.4,wanda13,15-03-30,06
87.7,78.6,87.7,78.6,wanda13,15-03-30,12
82.8,68.2,80.4,65.5,wanda13,15-03-30,18
82.6,85.2,79.3,85.0,wanda13,15-03-31,00
78.8,67.8,77.0,67.2,wanda13,15-03-31,06
78.2,52.3,76.7,51.4,wanda13,15-03-31,12
71.9,82.4,71.9,79.9,wanda13,15-03-31,18
73.0,50.1,72.5,47.3,wanda13,15-04-01,00
94.0,90.0,92.6,89.2,wanda13,15-04-01,06
91.3,50.5,87.3,48.3,wanda13,15-04-01,12
71.3,68.9,70.4,66.2,wanda13,15-04-01,18
72.8,53.9,69.8,51.8,wanda13,15-04-02,00
79.8,91.9,75.1,91.8,wanda13,15-04-02,06
77.3,63.3,69.7,61.9,wanda13,15-04-02,12
78.1,84.7,77.7,82.3,wanda13,15-04-02,18
85.6,63.7,83.7,58.8,wanda13,15-04-03,00
87.1,85.3,83.8,79.5,wanda13,15-04-03,06
90.4,71.2,88.5,70.1,wanda13,15-04-03,12
91.1,88.6,85.8,87.5,wanda13,15-04-03,18
72.6,53.8,66.6,51.6,wanda13,15-04-04,00
82.2,53.8,80.6,53.3,wanda13,15-04-04,06
91.8,65.2,89.0,64.0,wanda13,15-04-04,12
90.7,91.2,90.7,88.8,wanda13,15-04-04,18
84.0,88.3,83.9,88.2,wanda13,15-04-05,00
92.0,85.6,92.0,81.9,wanda13,15-04-05,06
89.7,66.0,84.0,65.0,wanda13,15-04-05,12
76.3,84.0,75.4,83.6,wanda13,15-04-05,18
80.4,65.3,79.1,63.9,wanda13,15-04-06,00
74.2,84.7,72.0,77.9,wanda13,15-04-06,06
83.8,94.8,80.5,92.9,wanda13,15-04-06,12
93.4,64.7,89.3,63.8,wanda13,15-04-06,18
91.2,62.9,88.4,58.6,wanda13,15-04-07,00
83.5,78.1,79.8,77.3,wanda13,15-04-07,06
83.2,91.2,81.8,91.0,wanda13,15-04-07,12
72.8,87.5,72.3,82.1,wanda13,15-04-07,18
71.5,64.6,70.5,62.5,wanda13,15-04-08,00
83.2,66.1,81.8,64.5,wanda13,15-04-08,06
72.6,69.7,71.4,69.5,wanda13,15-04-08,12
91.2,61.8,86.6,58.9,wanda13,15-04-08,18
80.9,68.9,80.9,65.1,wanda13,15-04-09,00
84.4,82.4,82.0,79.9,wanda13,15-04-09,06
90.3,77.4,89.6,75.5,wanda13,15-04-09,12
86.1,93.6,84.5,93.6,wanda13,15-04-09,18
74.3,65.7,68.0,64.9,wanda13,15-04-10,00
76.0,69.1,76.0,67.2,wanda13,15-04-10,06
79.0,55.2,79.0,53.0,wanda13,15-04-10,12
87.7,58.7,80.4,58.7,wanda13,15-04-10,18
79.3,83.3,70.4,81.7,wanda13,15-04-11,00
82.2,89.2,81.1,86.9,wanda13,15-04-11,06
73.2,92.7,70.6,85.5,wanda13,15-04-11,12
85.1,56.8,81.6,56.3,wanda13,15-04-11,18
78.1,56.5,76.5,53.7,wanda13,15-04-12,00
71.1,66.9,70.5,63.8,wanda13,15-04-12,06
74.1,52.3,68.3,52.3,wanda13,15-04-12,12
91.2,71.1,89.0,69.4,wanda13,15-04-12,18
91.5,56.1,90.4,55.2,wanda13,15-04-13,00
91.5,79.0,86.2,78.5,wanda13,15-04-13,06
82.7,79.7,82.6,78.5,wanda13,15-04-13,12
89.5,78.1,84.6,73.1,wanda13,15-04-13,18
90.0,62.5,84.1,57.6,wanda13,15-04-14,00
76.8,90.0,76.4,88.8,wanda13,15-04-14,06
76.7,89.3,73.5,85.2,wanda13,15-04-14,12
87.4,81.6,85.6,78.0,wanda13,15-04-14,18
72.6,60.8,72.6,57.1,wanda13,15-04-15,00
76.8,58.5,68.9,57.7,wanda13,15-04-15,06
78.1,71.8,77.3,71.6,wanda13,15-04-15,12
92.8,58.0,89.0,55.5,wanda13,15-04-15,18
86.8,54.8,84.6,53.6,wanda13,15-04-16,00
82.1,86.1,82.0,81.6,wanda13,15-04-16,06
87.7,60.7,85.0,55.9,wanda13,15-04-16,12
77.2,79.2,76.1,76.3,wanda13,15-04-16,18
85.5,82.7,80.3,80.7,wanda13,15-04-17,00
85.3,53.1,81.0,46.9,wanda13,15-04-17,06
87.2,75.8,82.3,75.8,wanda13,15-04-17,12
84.3,80.6,82.3,76.7,wanda13,15-04-17,18
81.7,52.5,81.7,51.8,wanda13,15-04-18,00
79.3,61.8,79.3,60.8,wanda13,15-04-18,06
94.0,62.3,90.1,60.4,wanda13,15-04-18,12
74.2,54.5,73.3,53.3,wanda13,15-04-18,18
83.9,64.2,83.0,62.6,wanda13,15-04-19,00
76.7,69.8,72.3,66.3,wanda13,15-04-19,06
80.1,63.5,80.1,58.0,wanda13,15-04-19,12
92.1,86.4,92.1,86.0,wanda13,15-04-19,18
90.0,78.6,85.3,71.6,wanda13,15-04-20,00
92.1,77.6,91.9,76.5,wanda13,15-04-20,06
78.5,66.0,74.5,63.9,wanda13,15-04-20,12
84.0,83.4,83.2,82.5,wanda13,15-04-20,18
78.3,58.2,74.5,55.0,wanda13,15-04-21,00
80.0,64.4,77.6,64.4,wanda13,15-04-21,06
74.3,81.2,74.3,80.6,wanda13,15-04-21,12
79.3,66.4,76.3,64.5,wanda13,15-04-21,18
75.5,62.0,66.9,60.2,wanda13,15-04-22,00
81.3,67.5,78.1,62.5,wanda13,15-04-22,06
72.9,94.3,72.1,91.1,wanda13,15-04-22,12
84.5,50.0,80.7,49.9,wanda13,15-04-22,18
90.4,54.8,90.4,53.4,wanda13,15-04-23,00
83.7,52.0,82.8,49.5,wanda13,15-04-23,06
89.6,89.8,89.6,83.8,wanda13,15-04-23,12
94.1,71.5,93.2,70.8,wanda13,15-04-23,18
77.6,68.6,77.6,65.2,wanda13,15-04-24,00
82.6,82.1,82.6,76.8,wanda13,15-04-24,06
77.0,50.3,77.0,46.1,wanda13,15-04-24,12
91.3,51.0,90.8,51.0,wanda13,15-04-24,18
76.8,57.8,75.4,57.7,wanda13,15-04-25,00
85.3,84.9,85.3,82.8,wanda13,15-04-25,06
79.6,85.6,76.4,83.5,wanda13,15-04-25,12
88.9,50.8,84.9,49.8,wanda13,15-04-25,18
72.8,73.5,69.1,72.3,wanda13,15-04-26,00
87.4,71.4,84.8,69.6,wanda13,15-04-26,06
79.8,61.4,77.1,60.2,wanda13,15-04-26,12
82.6,85.6,80.3,85.6,wanda13,15-04-26,18
94.7,80.2,93.7,78.6,wanda13,15-04-27,00
92.5,85.2,92.3,79.1,wanda13,15-04-27,06
87.4,78.0,83.0,77.6,wanda13,15-04-27,12
83.2,60.8,82.4,54.7,wanda13,15-04-27,18
84.5,75.9,84.5,73.1,wanda13,15-04-28,00
74.9,82.6,69.4,75.0,wanda13,15-04-28,06
88.8,80.9,88.5,80.4,wanda13,15-04-28,12
78.1,60.5,75.4,54.9,wanda13,15-04-28,18
73.1,66.7,70.7,65.2,wanda13,15-04-29,00
71.5,74.1,69.6,67.6,wanda13,15-04-29,06
80.9,54.2,80.3,54.2,wanda13,15-04-29,12
84.7,70.9,78.1,70.9,wanda13,15-04-29,18
79.1,59.7,73.7,52.8,wanda13,15-04-30,00
83.4,83.4,79.3,81.4,wanda13,15-04-30,06
72.2,85.3,69.1,81.4,wanda13,15-04-30,12
84.3,70.5,81.3,69.9,wanda13,15-04-30,18
